,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
sloss,0.20722308734952452,0.9718594116511157,0.1996399970713298,0.995771577240686,0.01644795430837467,-0.04199311998551128,-0.042622425971731014,0.07032287591370447,-0.027949439811154164,0.008457493658424102,1.0,0.01688509691300953,-0.009196077677599794,0.0002738689318024346,0.00016674496931739396,0.0023668198115136562,0.07800031155749877,0.06214991516810838,0.0597544207672081,0.0786962950852541,0.038244141051813736,0.03183238572038188,0.040174731517249415,0.22241484476820123,0.01625238302419507,0.0027289567450420713,-0.001810964384127893,-0.04350576681741734,-0.03255971573051314,-0.03500646636010651,-0.03678425111538363,-0.038238664260180334,-0.042443587134626835,0.0055973594765767725,0.005599208516191875,-0.0028032956713869802,-0.036478040405493954,-0.043785382703346365,-0.00896931769833875
dloss,0.14850567070161644,0.20471135907801094,0.9796120849360007,0.006906657251276498,0.9967111338314709,-0.07073361119785268,-0.1544015930360262,0.030394096934879457,-0.047536746122270185,0.1212026851250362,0.01688509691300953,1.0,-0.015778207379056997,-0.007998156019271592,-0.003378644245883291,0.044028054783880596,0.13137121635234747,0.10213855928560488,0.10083921080191116,0.1339786622397542,0.0013374156196459736,-0.002974381376052689,0.00621460568234678,-0.029136022601808264,0.4139460406066155,0.02747870053904166,0.431518832770544,-0.05482022467077006,-0.1072749592252199,-0.04900090943989666,-0.05946254463876805,-0.06457928755241556,-0.06560128360864115,0.007606758160795143,0.007614997390320657,0.040078059476853375,-0.05239596512572243,-0.054361592162434046,-0.015111219207904385
sinpkt,0.08021349781541463,-0.016597156440607136,-0.020489704768248306,-0.006187289445816679,-0.012458589800036063,-0.07241357930920173,-0.1984894780943366,-0.08050195896796715,-0.0463848036893195,-0.03586694478150814,-0.009196077677599794,-0.015778207379056997,1.0,0.10543208005788318,0.057703278482045726,0.01851655741675748,-0.10597595346745016,-0.08313490130838017,-0.08299484611102927,-0.10586090144820862,-0.04993102996022685,-0.04391372477784167,-0.04968197126804446,-0.05033293696833181,-0.05851454150103538,-0.016796371884518303,-0.0049521419971172344,-0.0869953640461805,0.09186778958078975,-0.06775390364798702,-0.05754334814601804,-0.054008332667744456,-0.07363615764754308,-0.013005154321129092,-0.013002391348386644,-0.018251514830963916,-0.07660320618018407,-0.08381257791645422,0.9421206232319632
dinpkt,0.14580299592877355,-0.0023478394822311643,-0.006819541397675672,-0.0005517339001658629,-0.007564011406511196,-0.05144341128053087,-0.004191130384417711,0.09534711616112562,-0.03436140568515084,-0.024266968464733495,0.0002738689318024346,-0.007998156019271592,0.10543208005788318,1.0,0.6924647524471537,0.34836251152558934,0.06517146199233312,0.05325224880323041,0.05199640864813645,0.06701748421694624,0.08540731780307682,0.0781933262892404,0.08135879125048517,2.9176104618080536e-05,-0.01584168463506632,0.0025495445603356975,-0.002881006980943578,-0.04254242687253656,-0.03811970988954219,-0.04139571339943038,-0.036634342271644776,-0.03620372388463951,-0.04089990138241444,0.00020629276343945308,0.00018768394457207993,0.03895619813886574,-0.042871767655283534,-0.04505002679026279,-0.010879818550323635
sjit,0.14010789665946097,-0.0011915776029663304,-0.0014106373467916188,-0.0022954584141899716,-0.0035408405376373252,-0.06251707395830898,0.025303807402736283,0.1448015788199174,-0.04148088307471893,-0.02909928773566964,0.00016674496931739396,-0.003378644245883291,0.057703278482045726,0.6924647524471537,1.0,0.5034021404832848,0.11370084079681365,0.08897602555493117,0.09103885615053665,0.11546326989685762,0.12652268241432016,0.11611021870827551,0.12020234563243874,-0.0002030270493872116,-0.004028493657426391,0.008646965710720302,-0.0018228911588261936,-0.04544245005394802,-0.03222520672151508,-0.0459200492783733,-0.04212625904016255,-0.04223904484004416,-0.045327432098982934,0.0030972478524325152,0.003068198408810478,0.07652366709139485,-0.046792261620493124,-0.04910890445429994,-0.013288524690488293
djit,0.15885217654927142,0.015201396499895162,0.048143748184184654,-0.0033582771583638682,0.04170271866265857,-0.08427433480062192,-0.11183897188739743,0.10402857322877589,-0.056308171150671514,-0.03238965250078268,0.0023668198115136562,0.044028054783880596,0.01851655741675748,0.34836251152558934,0.5034021404832848,1.0,0.15270580566569747,0.1218340539909346,0.12099457280320607,0.15578013155548903,0.07277441129174123,0.06381337452118922,0.07263594107993401,-0.01786689098932609,0.17351535215238983,0.06217952006174473,0.012483340965213348,-0.08055263416577271,-0.10438086222380591,-0.05747354135380771,-0.06720107449292714,-0.0697555517236134,-0.0764783839138077,0.0732891721298815,0.07304581900734797,0.09633306863756216,-0.0630666660969527,-0.08073115857659113,-0.017827695446398145
swin,0.035650360050098064,0.12489812947366011,0.16899929210737408,0.04736322382298886,0.10257531011439049,-0.5214694311177006,-0.4009087685871256,0.7482934838563758,-0.35576194330372,0.25447954796215777,0.07800031155749877,0.13137121635234747,-0.10597595346745016,0.06517146199233312,0.11370084079681365,0.15270580566569747,1.0,0.7694339964298297,0.7687067526530598,0.9804584289136614,0.51819278663309,0.4592843171226101,0.5114424622790849,0.15923300229042256,0.45407176533212845,0.1505244508118464,0.041506839319355074,-0.45459731893041916,-0.48616101188234295,-0.4041400541038258,-0.44718920683844327,-0.48664812210870995,-0.47123908275664117,0.11551560818524319,0.1154667708455009,0.20253317461724532,-0.4066493962949452,-0.4672279574448148,-0.11463872757681244
stcpb,0.019953622470589787,0.09947285337267987,0.13241053846459014,0.03839358945869892,0.07905292710299353,-0.41482534636606094,-0.3265532141598648,0.5992840454797969,-0.27796005562450615,0.20221900039372528,0.06214991516810838,0.10213855928560488,-0.08313490130838017,0.05325224880323041,0.08897602555493117,0.1218340539909346,0.7694339964298297,1.0,0.641997621545517,0.7842487673985195,0.41699774178213866,0.3700291275253471,0.4110526977645764,0.1315463791385785,0.3637023833587392,0.12047897056236441,0.028211217186162194,-0.3654327519732488,-0.4530963047776747,-0.3210870054645462,-0.3438887595806844,-0.37503134849224956,-0.38063564853201615,0.0886685167865511,0.08877583050794884,0.15948254795413017,-0.32230792721145124,-0.3737275571838003,-0.08829066422962295
dtcpb,0.02137069231113588,0.09678569135879381,0.13052272778544316,0.03630874389067508,0.0777455628226512,-0.4145222250492155,-0.3242305051139621,0.6013527414561317,-0.2777420557101455,0.20172354068221807,0.0597544207672081,0.10083921080191116,-0.08299484611102927,0.05199640864813645,0.09103885615053665,0.12099457280320607,0.7687067526530598,0.641997621545517,1.0,0.7837880908218406,0.418167126112879,0.37175699402665907,0.4113932860387428,0.13115242827635706,0.36041060276572245,0.118374358825097,0.0343727685056769,-0.3651543430604517,-0.4513910595583859,-0.32133751169828706,-0.34372161618779234,-0.3747053571668288,-0.3800596019231845,0.08893694659338736,0.08873088218700471,0.16899491459528607,-0.3208412946527448,-0.374011995626416,-0.08843301892092467
dwin,0.027009231955666933,0.12733058385887075,0.17242659838627947,0.04836251760909998,0.10461858823550879,-0.5286786546186629,-0.4152483823141435,0.7637549036274037,-0.35422114370922997,0.2601003533344731,0.0786962950852541,0.1339786622397542,-0.10586090144820862,0.06701748421694624,0.11546326989685762,0.15578013155548903,0.9804584289136614,0.7842487673985195,0.7837880908218406,1.0,0.5283251811269261,0.46818713899573144,0.5215343104463643,0.16810692237019384,0.46394301381252506,0.15351261415422834,0.04233081984241049,-0.4650353281071028,-0.5784315839810467,-0.4096307012598203,-0.4381809191821107,-0.47794697446590995,-0.48450993526485026,0.1178087871604243,0.1177589803174041,0.20655379854076578,-0.4097847380437037,-0.47639415390087103,-0.11279197767742273
tcprtt,0.05518231450701947,0.02643283544677727,0.008643973751526106,0.03194326189512167,-0.0033741757163306177,-0.2819063851921062,0.016582000136584434,0.7305002717034159,-0.1882591850650696,-0.12741546449564714,0.038244141051813736,0.0013374156196459736,-0.04993102996022685,0.08540731780307682,0.12652268241432016,0.07277441129174123,0.51819278663309,0.41699774178213866,0.418167126112879,0.5283251811269261,1.0,0.9430527539835085,0.9202175911910093,0.13509628785937594,0.02169253220276233,0.08287681926674777,0.005228866765071649,-0.2809963443997297,-0.06243649498159838,-0.26045885836501914,-0.2383043365111509,-0.2500154750316667,-0.2556741643982928,0.04315129214647646,0.04289832429027641,0.1332936937458709,-0.2622385140162286,-0.2926994419774982,-0.0596288992293013
synack,0.050477542915502535,0.020946468952438273,0.003409765726660035,0.026178679795646254,-0.006772900789959851,-0.2498396872820923,0.016055015530121227,0.6457139433774799,-0.1668491162076694,-0.11257923136999733,0.03183238572038188,-0.002974381376052689,-0.04391372477784167,0.0781933262892404,0.11611021870827551,0.06381337452118922,0.4592843171226101,0.3700291275253471,0.37175699402665907,0.46818713899573144,0.9430527539835085,1.0,0.7376147921844188,0.1187309955586372,0.010357456492596834,0.06716175344951951,0.002593676133200115,-0.2450706366254397,-0.04804156289650051,-0.2294810846382937,-0.21012584886690247,-0.22139394508248292,-0.22366177741005164,0.03273374421802405,0.032525953570637166,0.11242742853867503,-0.23126454295922874,-0.2556775769181236,-0.05284724878037196
ackdat,0.052618017948865586,0.02900833949053545,0.013533997461358707,0.0340372559431805,0.0011202549136731849,-0.2782569231803284,0.01476801175132105,0.7230347505216553,-0.18581697456501187,-0.1261693386679862,0.040174731517249415,0.00621460568234678,-0.04968197126804446,0.08135879125048517,0.12020234563243874,0.07263594107993401,0.5114424622790849,0.4110526977645764,0.4113932860387428,0.5215343104463643,0.9202175911910093,0.7376147921844188,1.0,0.13452187455372508,0.031845793160780116,0.08920259854575162,0.007562039640928191,-0.28202120072322046,-0.07020936035323914,-0.2586763840213061,-0.23648011904012592,-0.2469934907377385,-0.25581142008074154,0.04907500940772933,0.048806016548587204,0.13827998726606694,-0.260190329893223,-0.2932962045663057,-0.058855664750623995
smean,0.08897244866684852,0.2090044704991652,0.01392108214327575,0.22409390082022537,-0.03461776334245805,-0.1121697849270245,-0.0064142498937573705,0.18563989445206844,0.23323112694900397,-0.08397434439169925,0.22241484476820123,-0.029136022601808264,-0.05033293696833181,2.9176104618080536e-05,-0.0002030270493872116,-0.01786689098932609,0.15923300229042256,0.1315463791385785,0.13115242827635706,0.16810692237019384,0.13509628785937594,0.1187309955586372,0.13452187455372508,1.0,-0.08814046315015092,0.037194416905586856,-0.01588000382096512,-0.16005384341264428,-0.07027587105121028,-0.1549023070823871,-0.15860001685554206,-0.18916517304767894,-0.14098286571965396,-0.03911939410243502,-0.03911395131187772,0.009783059050664102,-0.1530773257962652,-0.16297580462085567,-0.053559816368869806
dmean,0.02999887802541622,0.14747221131734223,0.42654247004961016,-0.004395515384495834,0.4052604691813514,-0.2684698994763696,-0.5447055389432792,0.12855583067899273,-0.1810256964762152,0.5475623963387841,0.01625238302419507,0.4139460406066155,-0.05851454150103538,-0.01584168463506632,-0.004028493657426391,0.17351535215238983,0.45407176533212845,0.3637023833587392,0.36041060276572245,0.46394301381252506,0.02169253220276233,0.010357456492596834,0.031845793160780116,-0.08814046315015092,1.0,0.1081233629691037,0.1896080055211899,-0.2174683841767873,-0.4454401313373201,-0.19153320912325505,-0.23011987340990284,-0.24662542963387954,-0.2640729466038456,-0.021758171171952053,-0.021751954325408232,0.127247138538073,-0.1932529032626384,-0.22030897771453095,-0.057623726345630975
trans_depth,0.0030406009976046496,0.008288403361707544,0.02803364864517689,0.0026480258735632227,0.029852567798661727,-0.08173182812031725,-0.07785940865581585,0.15179084591532774,-0.05460979692627191,-0.027966230263301976,0.0027289567450420713,0.02747870053904166,-0.016796371884518303,0.0025495445603356975,0.008646965710720302,0.06217952006174473,0.1505244508118464,0.12047897056236441,0.118374358825097,0.15351261415422834,0.08287681926674777,0.06716175344951951,0.08920259854575162,0.037194416905586856,0.1081233629691037,1.0,0.05011168757050477,-0.09700542275837647,-0.07828468142244746,-0.06857323903089947,-0.07009909728790248,-0.07282313803991859,-0.08243432342407762,-0.015887381318827217,-0.01588066449976432,0.2519745275880349,-0.06886189283276371,-0.09671422457135834,-0.01731420796321994
response_body_len,0.07849710785451111,0.08597873549615556,0.4142171301720303,0.0016305691454052665,0.44115546461290756,-0.0225131093418038,-0.0510295340659833,0.012978132612156162,-0.01507601678590092,0.024801646616509118,-0.001810964384127893,0.431518832770544,-0.0049521419971172344,-0.002881006980943578,-0.0018228911588261936,0.012483340965213348,0.041506839319355074,0.028211217186162194,0.0343727685056769,0.04233081984241049,0.005228866765071649,0.002593676133200115,0.007562039640928191,-0.01588000382096512,0.1896080055211899,0.05011168757050477,1.0,-0.0278212193084721,-0.029374989140864668,-0.0155502206711165,-0.019702600959661906,-0.020439535236793975,-0.020721856685061362,-0.0043809160574860674,-0.004379063907034162,0.06531149454656247,-0.017662831531103717,-0.027071835256553173,-0.00477436086958136
ct_srv_src,-0.10602980805597677,-0.06579965681129521,-0.07365932831952966,-0.03305133543959886,-0.041783927996034705,0.3592951521082448,0.334823972520244,-0.4249636969956756,0.14434933592215923,-0.07207315818402579,-0.04350576681741734,-0.05482022467077006,-0.0869953640461805,-0.04254242687253656,-0.04544245005394802,-0.08055263416577271,-0.45459731893041916,-0.3654327519732488,-0.3651543430604517,-0.4650353281071028,-0.2809963443997297,-0.2450706366254397,-0.28202120072322046,-0.16005384341264428,-0.2174683841767873,-0.09700542275837647,-0.0278212193084721,1.0,0.34422183286945496,0.8409951124111219,0.8618545947586924,0.8148560554331603,0.9539519771685916,-0.08338143272977849,-0.08332968890087196,-0.1208597394585898,0.7942324238395261,0.9794668130725328,-0.08568552982387594
ct_state_ttl,0.15685914213783023,-0.08195711799238949,-0.14027872400765487,-0.010485046558200047,-0.08400585054793556,0.41741941662875276,0.6314306380218786,-0.24808019621771527,0.26953417962860665,-0.35868386896199855,-0.03255971573051314,-0.1072749592252199,0.09186778958078975,-0.03811970988954219,-0.03222520672151508,-0.10438086222380591,-0.48616101188234295,-0.4530963047776747,-0.4513910595583859,-0.5784315839810467,-0.06243649498159838,-0.04804156289650051,-0.07020936035323914,-0.07027587105121028,-0.4454401313373201,-0.07828468142244746,-0.029374989140864668,0.34422183286945496,1.0,0.2798813406381001,0.31321068631733945,0.34574460131670615,0.4021536862650524,-0.07183917722666111,-0.07199138912517002,-0.09797881932634449,0.2756499828255928,0.34335089568301363,0.08265085727167346
ct_dst_ltm,-0.0808826982161172,-0.05602496042362301,-0.06517673889559082,-0.02515703081925802,-0.03802563068978556,0.3151929624915634,0.25449795827366056,-0.3807880835806661,0.08132804523909869,-0.09046760156131385,-0.03500646636010651,-0.04900090943989666,-0.06775390364798702,-0.04139571339943038,-0.0459200492783733,-0.05747354135380771,-0.4041400541038258,-0.3210870054645462,-0.32133751169828706,-0.4096307012598203,-0.26045885836501914,-0.2294810846382937,-0.2586763840213061,-0.1549023070823871,-0.19153320912325505,-0.06857323903089947,-0.0155502206711165,0.8409951124111219,0.2798813406381001,1.0,0.9615176986568873,0.8711178093975873,0.857494026584352,-0.04212483345880054,-0.0419906188849293,-0.08093232999634244,0.9015817705704524,0.8530854336257346,-0.06499551726985231
ct_src_dport_ltm,-0.09026688291220848,-0.06323382926116272,-0.07832419459255659,-0.024495854798770814,-0.04625809171889817,0.35093144533938714,0.3253019063403146,-0.36150684423096124,0.10445061541056208,-0.1330322914128236,-0.03678425111538363,-0.05946254463876805,-0.05754334814601804,-0.036634342271644776,-0.04212625904016255,-0.06720107449292714,-0.44718920683844327,-0.3438887595806844,-0.34372161618779234,-0.4381809191821107,-0.2383043365111509,-0.21012584886690247,-0.23648011904012592,-0.15860001685554206,-0.23011987340990284,-0.07009909728790248,-0.019702600959661906,0.8618545947586924,0.31321068631733945,0.9615176986568873,1.0,0.9083371617417906,0.8718465657501453,-0.05685793568934272,-0.056810566195302614,-0.08331533445476216,0.9094302805367575,0.8667171818381492,-0.0531983909085429
ct_dst_sport_ltm,-0.08842198473814515,-0.06660400792999434,-0.08494266534399071,-0.024965040754333062,-0.05058292123310917,0.3836721778202977,0.3586320015651672,-0.38043833858806736,0.08360139104580827,-0.14162976103810293,-0.038238664260180334,-0.06457928755241556,-0.054008332667744456,-0.03620372388463951,-0.04223904484004416,-0.0697555517236134,-0.48664812210870995,-0.37503134849224956,-0.3747053571668288,-0.47794697446590995,-0.2500154750316667,-0.22139394508248292,-0.2469934907377385,-0.18916517304767894,-0.24662542963387954,-0.07282313803991859,-0.020439535236793975,0.8148560554331603,0.34574460131670615,0.8711178093975873,0.9083371617417906,1.0,0.8364220970632392,-0.05699914084170542,-0.05694176930639069,-0.08241294703799776,0.8177468268817968,0.8228732004059853,-0.049463146626825175
ct_dst_src_ltm,-0.09092116141741623,-0.07203617566310347,-0.0871760325664389,-0.02929063210944545,-0.05066801190907852,0.3760509871901963,0.3807920533971885,-0.3922125659485237,0.15594968067067438,-0.15090069168306647,-0.042443587134626835,-0.06560128360864115,-0.07363615764754308,-0.04089990138241444,-0.045327432098982934,-0.0764783839138077,-0.47123908275664117,-0.38063564853201615,-0.3800596019231845,-0.48450993526485026,-0.2556741643982928,-0.22366177741005164,-0.25581142008074154,-0.14098286571965396,-0.2640729466038456,-0.08243432342407762,-0.020721856685061362,0.9539519771685916,0.4021536862650524,0.857494026584352,0.8718465657501453,0.8364220970632392,1.0,-0.054523580464284335,-0.054460521858289625,-0.0996814717028276,0.8025514215953785,0.960321213106398,-0.07197358397300231
is_ftp_login,0.020389864848717243,0.01011379770106829,0.01320257067582376,-0.00393134815594465,-0.009144676183559306,-0.06257157993089899,-0.11458413554961815,0.08939438364562247,-0.04192453577520954,-0.02512769270862671,0.0055973594765767725,0.007606758160795143,-0.013005154321129092,0.00020629276343945308,0.0030972478524325152,0.0732891721298815,0.11551560818524319,0.0886685167865511,0.08893694659338736,0.1178087871604243,0.04315129214647646,0.03273374421802405,0.04907500940772933,-0.03911939410243502,-0.021758171171952053,-0.015887381318827217,-0.0043809160574860674,-0.08338143272977849,-0.07183917722666111,-0.04212483345880054,-0.05685793568934272,-0.05699914084170542,-0.054523580464284335,1.0,0.9988554882935945,-0.02137673818108741,-0.04080083290270028,-0.08062656256399756,-0.013287284905076295
ct_ftp_cmd,0.02033045321125935,0.010135309267390237,0.01323055525713438,-0.003929420076691581,-0.009139171741533324,-0.06254301273939414,-0.11464666112218759,0.08900912359481616,-0.041906414227808324,-0.025078340631695423,0.005599208516191875,0.007614997390320657,-0.013002391348386644,0.00018768394457207993,0.003068198408810478,0.07304581900734797,0.1154667708455009,0.08877583050794884,0.08873088218700471,0.1177589803174041,0.04289832429027641,0.032525953570637166,0.048806016548587204,-0.03911395131187772,-0.021751954325408232,-0.01588066449976432,-0.004379063907034162,-0.08332968890087196,-0.07199138912517002,-0.0419906188849293,-0.056810566195302614,-0.05694176930639069,-0.054460521858289625,0.9988554882935945,1.0,-0.02136770058831901,-0.0407025128328445,-0.08057237758108157,-0.013281667346918376
ct_flw_http_mthd,0.023298516957460203,0.004429953198319483,0.03956685652620796,-0.0028997997891143826,0.042458433444788876,-0.11000041588488868,-0.13115219743832293,0.21783070674300087,-0.07351311936730878,-0.039760427346629,-0.0028032956713869802,0.040078059476853375,-0.018251514830963916,0.03895619813886574,0.07652366709139485,0.09633306863756216,0.20253317461724532,0.15948254795413017,0.16899491459528607,0.20655379854076578,0.1332936937458709,0.11242742853867503,0.13827998726606694,0.009783059050664102,0.127247138538073,0.2519745275880349,0.06531149454656247,-0.1208597394585898,-0.09797881932634449,-0.08093232999634244,-0.08331533445476216,-0.08241294703799776,-0.0996814717028276,-0.02137673818108741,-0.02136770058831901,1.0,-0.0802301048394237,-0.11851679774563655,-0.023296557375636212
